Designator,Mid X,Mid Y,Rotation,Layer
C1,42.2125,-60.0,270.0,top
C2,39.7125,-60.5,270.0,top
C3,37.7125,-59.435,270.0,top
C4,68.5,-70.565,90.0,top
C5,49.5,-59.0,180.0,top
C6,18.0,-81.0,270.0,top
C7,20.5,-81.5,270.0,top
D1,49.5,-65.0,0.0,top
D2,49.5,-63.0,0.0,top
D3,49.5,-61.0,0.0,top
J1,66.14,-82.435,0.0,top
J3,72.0,-46.88,0.0,top
R1,27.5,-75.99,270.0,top
R2,29.5,-76.0,270.0,top
R3,53.5,-60.5,180.0,top
R4,53.5,-62.0,0.0,top
R5,53.5,-63.5,180.0,top
R6,53.5,-59.0,180.0,top
R7,16.0,-81.0,90.0,top
S1,41.5,-74.75,0.0,top
SW2,30.5,-81.5,180.0,top
SW3,26.0,-81.5,180.0,top
U1,42.5,-40.0,0.0,top
U2,61.0,-69.5,270.0,top
